,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Sur,OM,75.54,22.57,59.53,91,32,9.33
1,Souillac,FR,66.11,45.6,-0.6,39,0,9.17
2,New Norfolk,AU,54.07,-42.78,147.06,87,90,8.05
3,Baker City,US,32.36,44.77,-117.83,86,1,3.36
4,Orlik,RU,10.56,52.51,99.83,79,76,1.28
5,Ajdabiya,LY,61.95,30.75,20.22,60,92,19.28
6,Mataura,NZ,48.99,-46.19,168.86,96,0,2.84
7,Albany,US,42.6,42.65,-73.75,81,90,10.29
8,Thompson,CA,5,55.74,-97.86,65,75,5.82
9,Maicao,CO,81.48,11.38,-72.24,76,92,9.22
10,Hami,CN,51.24,42.84,93.51,38,56,12.91
11,Antalya,TR,57.07,36.9,30.69,76,75,6.93
12,Laguna,MX,51.8,27.52,-110.01,71,40,3.36
13,Warri,NG,90.93,5.52,5.75,67,24,10.22
14,Namibe,AO,80.6,-15.19,12.15,74,75,5.82
15,Mahebourg,MU,81.12,-20.41,57.7,70,40,6.93
16,Adrar,DZ,87.8,27.87,-0.29,22,0,5.97
17,Kibala,TD,104,9.11,18.35,19,20,2.24
18,Ponta do Sol,BR,79.68,-20.63,-46,65,8,5.75
19,Bredasdorp,ZA,73.47,-34.53,20.04,57,0,5.82
20,Amboasary,MG,82.4,-25.04,46.38,74,20,16.11
21,Nome,US,64.13,30.04,-94.42,88,40,4.7
22,Hobart,AU,54.05,-42.88,147.33,87,90,8.05
23,Punta Arenas,CL,58.05,-53.16,-70.91,62,75,28.86
24,Mangaratiba,BR,76.93,-22.96,-44.04,83,90,3.36
25,Kawalu,ID,69.6,-7.38,108.21,95,92,2.39
26,Padang,ID,82.4,-0.92,100.36,83,75,6.93
27,Pangnirtung,CA,23,66.15,-65.72,53,90,25.28
28,Nikolskoye,RU,48.6,59.7,30.79,61,20,24.61
29,Chokurdakh,RU,16.23,70.62,147.9,82,88,12.01
30,Avarua,CK,75.2,-21.21,-159.78,88,76,6.93
31,Castro,CL,50,-42.48,-73.76,93,90,9.17
32,Cherskiy,RU,4.89,68.75,161.3,77,88,5.64
33,Sistranda,NO,37.69,63.73,8.83,93,90,17.22
34,Borovskoy,KZ,36.66,53.8,64.15,90,8,8.66
35,Bonavista,CA,34,48.65,-53.11,76,0,4
36,Kapaa,US,64.17,22.08,-159.32,93,1,6.93
37,Beyneu,KZ,44.13,45.32,55.19,74,76,5.19
38,Busselton,AU,61.65,-33.64,115.35,29,0,18.28
39,Dingle,PH,74.91,11,122.67,68,0,7.54
40,Formosa do Rio Preto,BR,84.18,-11.04,-45.19,77,0,8.88
41,Provideniya,RU,30.63,64.42,-173.23,95,92,24.32
42,Clinton,US,41.83,41.84,-90.19,80,40,10.29
43,Lasa,CY,62.31,34.92,32.53,68,40,18.34
44,Caravelas,BR,78.24,-17.73,-39.27,100,44,13.02
45,Port Alfred,ZA,72.48,-33.59,26.89,77,0,5.19
46,Lebu,ET,78.8,8.96,38.73,29,40,11.41
47,Cape Town,ZA,74.98,-33.93,18.42,57,20,12.75
48,Nouadhibou,MR,71.6,20.93,-17.03,53,20,16.11
49,Otjimbingwe,NA,83.64,-22.35,16.13,51,68,7.87
50,Ushuaia,AR,59.81,-54.81,-68.31,55,40,6.93
51,Fairbanks,US,28.44,64.84,-147.72,100,90,3.36
52,Tasiilaq,GL,15.8,65.61,-37.64,56,20,3.36
53,Rome,IT,64.44,41.89,12.48,25,0,8.05
54,Flinders,AU,71.17,-34.58,150.85,94,90,8.05
55,Nuuk,GL,28.4,64.17,-51.74,63,90,21.92
56,Taunggyi,MM,61.23,20.78,97.03,76,0,1.95
57,Hithadhoo,MV,83.01,-0.6,73.08,100,8,8.43
58,Natitingou,BJ,96.8,10.31,1.38,30,20,4.7
59,Praia da Vitoria,PT,61.47,38.73,-27.07,63,40,9.1
60,Arraial do Cabo,BR,77.83,-22.97,-42.02,61,75,6.53
61,Cedar City,US,30.07,37.68,-113.06,100,20,3.18
62,Rodino,RU,31.44,52.5,80.2,85,0,4.07
63,Carnarvon,ZA,84.81,-30.97,22.13,9,0,10.45
64,Bykovo,RU,36.21,49.76,45.39,69,56,8.43
65,Dikson,RU,24.33,73.51,80.55,94,68,17.49
66,Menongue,AO,86.34,-14.66,17.68,31,56,4.18
67,Bandarbeyla,SO,79.86,9.49,50.81,100,0,8.21
68,Butaritari,KI,80.76,3.07,172.79,100,76,12.91
69,Ust-Shonosha,RU,36.39,61.15,41.34,92,76,21.07
70,Saint-Pierre,FR,63.1,48.95,4.24,48,0,9.17
71,Bilma,NE,96.33,18.69,12.92,16,0,4.97
72,Hermanus,ZA,74.89,-34.42,19.24,77,0,4
73,Catuday,PH,80.76,16.29,119.81,90,64,6.2
74,Saint-Augustin,FR,67.84,44.83,-0.61,42,0,9.17
75,Qaanaaq,GL,-5.37,77.48,-69.36,80,36,8.77
76,Adjumani,UG,86.07,3.38,31.79,64,20,5.41
77,Henties Bay,NA,69.01,-22.12,14.28,78,92,3
78,Severobaykalsk,RU,4.8,55.65,109.32,68,0,1.61
79,Hilo,US,62.89,19.71,-155.08,77,1,6.93
80,Atuona,PF,81.93,-9.8,-139.03,100,0,12.68
81,Puerto Ayora,EC,79.81,-0.74,-90.35,83,40,10.29
82,Union,US,40.95,47.36,-123.1,86,1,1.95
83,Ahipara,NZ,65.46,-35.17,173.16,94,88,10.45
84,Dyatkovo,RU,48.2,53.6,34.34,61,20,8.95
85,Yasinya,UA,40.71,48.28,24.36,56,32,2.28
86,Talaya,RU,39.2,55.79,84.89,51,0,11.18
87,Barrow,AR,72.21,-38.31,-60.23,60,92,16.37
88,Lisala,CD,99.84,2.15,21.52,28,12,4.18
89,Chuy,UY,74.37,-33.69,-53.46,83,80,15.82
90,Kokopo,PG,77.97,-4.34,152.27,100,64,4.18
91,Marsh Harbour,BS,72.75,26.54,-77.06,100,56,20.18
92,Rikitea,PF,75,-23.12,-134.97,100,88,14.36
93,Nogliki,RU,19.2,51.8,143.14,90,76,10
94,Yellowknife,CA,16.66,62.45,-114.38,92,75,4.7
95,San Andres,PH,81.93,13.32,122.68,97,24,12.12
96,Saint-Francois,FR,64.17,46.42,3.91,39,0,2.24
97,Port Blair,IN,83.19,11.67,92.75,100,56,5.97
98,Vao,EE,41.88,59.1,26.19,85,0,12.46
99,Ribeira Grande,PT,62.6,38.52,-28.7,55,20,10.29
100,Lakes Entrance,AU,59.18,-37.88,147.99,93,92,1.01
101,Severo-Kurilsk,RU,28.56,50.68,156.12,97,64,9.1
102,Nokha,IN,86.25,27.56,73.47,32,36,6.42
103,Yarmouth,GB,59.31,50.71,-1.5,54,0,6.93
104,Khatanga,RU,20.91,71.98,102.47,88,68,13.47
